corpus,year,frame,frame_label,outlet_clean,level,pct,n_present,n_applicable
climate,2019,othering,Othering,AD,by_outlet,6.0606,2,33
climate,2020,othering,Othering,AD,by_outlet,0.0,0,31
climate,2021,othering,Othering,AD,by_outlet,5.7971,4,69
climate,2022,othering,Othering,AD,by_outlet,5.2632,3,57
climate,2023,othering,Othering,AD,by_outlet,7.1429,5,70
climate,2014,agency,Agency,AD,by_outlet,100.0,2,2
climate,2015,agency,Agency,AD,by_outlet,100.0,4,4
climate,2016,agency,Agency,AD,by_outlet,100.0,2,2
climate,2017,agency,Agency,AD,by_outlet,100.0,4,4
climate,2018,agency,Agency,AD,by_outlet,100.0,6,6
climate,2019,agency,Agency,AD,by_outlet,100.0,33,33
climate,2020,agency,Agency,AD,by_outlet,100.0,31,31
climate,2021,agency,Agency,AD,by_outlet,100.0,69,69
climate,2022,agency,Agency,AD,by_outlet,100.0,57,57
climate,2023,agency,Agency,AD,by_outlet,100.0,70,70
climate,2014,conflict,Conflict,FD,by_outlet,100.0,5,5
climate,2015,conflict,Conflict,FD,by_outlet,55.5556,5,9
climate,2016,conflict,Conflict,FD,by_outlet,100.0,5,5
climate,2017,conflict,Conflict,FD,by_outlet,88.8889,8,9
climate,2018,conflict,Conflict,FD,by_outlet,81.8182,9,11
climate,2019,conflict,Conflict,FD,by_outlet,85.7143,12,14
climate,2020,conflict,Conflict,FD,by_outlet,72.7273,8,11
climate,2021,conflict,Conflict,FD,by_outlet,83.871,26,31
climate,2022,conflict,Conflict,FD,by_outlet,87.5,21,24
climate,2023,conflict,Conflict,FD,by_outlet,90.0,18,20
climate,2014,human_interest,Human Interest,FD,by_outlet,0.0,0,5
climate,2015,human_interest,Human Interest,FD,by_outlet,11.1111,1,9
climate,2016,human_interest,Human Interest,FD,by_outlet,0.0,0,5
climate,2017,human_interest,Human Interest,FD,by_outlet,0.0,0,9
climate,2018,human_interest,Human Interest,FD,by_outlet,0.0,0,11
climate,2019,human_interest,Human Interest,FD,by_outlet,28.5714,4,14
climate,2020,human_interest,Human Interest,FD,by_outlet,27.2727,3,11
climate,2021,human_interest,Human Interest,FD,by_outlet,6.4516,2,31
climate,2022,human_interest,Human Interest,FD,by_outlet,16.6667,4,24
climate,2023,human_interest,Human Interest,FD,by_outlet,25.0,5,20
climate,2014,economic,Economic,FD,by_outlet,100.0,5,5
climate,2015,economic,Economic,FD,by_outlet,100.0,9,9
climate,2016,economic,Economic,FD,by_outlet,80.0,4,5
climate,2017,economic,Economic,FD,by_outlet,77.7778,7,9
climate,2018,economic,Economic,FD,by_outlet,81.8182,9,11
climate,2019,economic,Economic,FD,by_outlet,85.7143,12,14
climate,2020,economic,Economic,FD,by_outlet,90.9091,10,11
climate,2021,economic,Economic,FD,by_outlet,80.6452,25,31
climate,2022,economic,Economic,FD,by_outlet,83.3333,20,24
climate,2023,economic,Economic,FD,by_outlet,90.0,18,20
climate,2014,deservingness,Deservingness,FD,by_outlet,0.0,0,5
climate,2015,deservingness,Deservingness,FD,by_outlet,11.1111,1,9
climate,2016,deservingness,Deservingness,FD,by_outlet,0.0,0,5
climate,2017,deservingness,Deservingness,FD,by_outlet,0.0,0,9
